TradeId, Spot, Strike, timeToMaturity, IR, Sigma, OptionPrice, timeTaken 
TID_0_bumped_time_to_maturity_-94.0000,78.81092554,78.81092554,0.118216388,0.157621851,0.591081942,5.906163799,1.9938945770263672ms
TID_0_bumped_time_to_maturity_-99.0000,78.81092554,78.81092554,0.019702731,0.157621851,0.591081942,2.275785904,3.068208694458008ms
TID_0_bumped_time_to_maturity_-24.0000,78.81092554,78.81092554,1.497407585,0.157621851,0.591081942,25.68144704,2.9993057250976562ms
TID_0_bumped_time_to_maturity_-29.0000,78.81092554,78.81092554,1.398893928,0.157621851,0.591081942,24.69841942,0.9927749633789062ms
TID_1,78.31083438,78.31083438,1.95777086,0.156621669,0.587331258,29.42316583,1.0004043579101562ms
TID_1_bumped_spot_-8.0000,72.04596763,78.31083438,1.95777086,0.156621669,0.587331258,24.55317367,1.9977092742919922ms
TID_1_bumped_spot_-2.0000,76.74461769,78.31083438,1.95777086,0.156621669,0.587331258,28.17438857,2.9997825622558594ms
TID_1_bumped_spot_2.0000,79.87705107,78.31083438,1.95777086,0.156621669,0.587331258,30.68911155,1.0766983032226562ms
TID_1_bumped_spot_8.0000,84.57570113,78.31083438,1.95777086,0.156621669,0.587331258,34.56441422,1.9996166229248047ms
TID_1_bumped_spot_-9.0000,71.26285929,78.31083438,1.95777086,0.156621669,0.587331258,23.96563081,1.9977092742919922ms
TID_1_bumped_spot_9.0000,85.35880948,78.31083438,1.95777086,0.156621669,0.587331258,35.22148586,1.9900798797607422ms
TID_1_bumped_spot_-10.0000,70.47975094,78.31083438,1.95777086,0.156621669,0.587331258,23.38468674,0.9622573852539062ms
TID_1_bumped_spot_-3.0000,75.96150935,78.31083438,1.95777086,0.156621669,0.587331258,27.55504923,2.0754337310791016ms
TID_1_bumped_spot_3.0000,80.66015941,78.31083438,1.95777086,0.156621669,0.587331258,31.32551232,2.000093460083008ms
TID_1_bumped_spot_-4.0000,75.17840101,78.31083438,1.95777086,0.156621669,0.587331258,26.94376903,1.5037059783935547ms
TID_1_bumped_spot_-1.0000,77.52772604,78.31083438,1.95777086,0.156621669,0.587331258,28.79638129,2.0134449005126953ms
TID_1_bumped_spot_1.0000,79.09394273,78.31083438,1.95777086,0.156621669,0.587331258,30.05512388,1.9993782043457031ms
TID_1_bumped_spot_4.0000,81.44326776,78.31083438,1.95777086,0.156621669,0.587331258,31.96573945,2.083301544189453ms
TID_1_bumped_spot_-5.0000,74.39529266,78.31083438,1.95777086,0.156621669,0.587331258,26.33958694,1.9218921661376953ms
TID_1_bumped_spot_5.0000,82.2263761,78.31083438,1.95777086,0.156621669,0.587331258,32.61131393,1.997232437133789ms
TID_1_bumped_spot_-6.0000,73.61218432,78.31083438,1.95777086,0.156621669,0.587331258,25.74153669,1.9993782043457031ms
TID_1_bumped_spot_6.0000,83.00948444,78.31083438,1.95777086,0.156621669,0.587331258,33.25946071,2.000570297241211ms
TID_1_bumped_spot_-7.0000,72.82907597,78.31083438,1.95777086,0.156621669,0.587331258,25.14582204,1.9993782043457031ms
TID_1_bumped_spot_7.0000,83.79259279,78.31083438,1.95777086,0.156621669,0.587331258,33.91061609,2.010822296142578ms
